Pressure Regulator KPF FC=1.0 PCP = 0-1000
Set Pressure, Inlet Pressure, Flow Rate, Outlet Pressure 
Input,Input,Input,Output
psi,psi,ft^3/min,psi
1000, 6000, 15.087041321842067, 864.3356688127895
1000, 6000, 15.71566950391853, 866.4335388712644
1000, 6000, 16.392652848632626, 866.4335388712644
1000, 6000, 16.97292217880903, 866.4335388712644
1000, 6000, 17.553191508985442, 864.3356688127895
1000, 6000, 18.27853001633716, 862.2377987543148
1000, 6000, 19.05222737558894, 862.2377987543148
1000, 6000, 19.632496705765348, 862.2377987543148
1000, 6000, 20.647969878205274, 862.2377987543148
1000, 6000, 21.47002240009468, 860.1398486672268
1000, 6000, 22.243716070084034, 864.3356688127895
1000, 6000, 21.13152888310642, 862.2377987543148
1000, 6000, 20.116055710666494, 862.2377987543148
1000, 6000, 22.920699414798126, 862.2377987543148
1000, 6000, 23.694393084787478, 862.2377987543148
1000, 6000, 24.274662414963885, 862.2377987543148
