Time,Converged Residual,Object,Density (kg/m^3),Pressure (kg/ms^2),Velocity (m/s),Temperature (K),Mass Flow Rate (kg/s),Mass (kg),Dynamic Pressure (kg/ms^2)
0.65,8.855201860663035e-13,Pressurant Tank,65.51443458228148,5263781.3328939965,10,274.8170956336273,N/A,0.1577950775639682,N/A
0.65,8.855201860663035e-13,INTER1,65.51443458252795,5263781.3328939965,15.843015253928392,274.8170956327336,0.03287094347322744,N/A,8222.098632290461
0.65,8.855201860663035e-13,Tank,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.65,8.855201860663035e-13,INTER2,793.877458154995,5265815.839485472,15.843015253928392,293.1500000000043,0.39831681701854665,N/A,99632.07046654705
0.65,8.855201860663035e-13,Pipe,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.65,8.855201860663035e-13,INTER3,793.7200643411932,5078239.264377895,15.846156906388416,293.1499999999998,0.3983168170185394,N/A,99651.82739628755
0.65,8.855201860663035e-13,cavitating_venturi,N/A,N/A,N/A,N/A,0.3983168170189653,N/A,N/A
0.65,8.855201860663035e-13,INTER4,793.7200643411932,3634993.771334906,15.846156906388417,291.6920058767344,0.39831681701853944,N/A,99651.82739628758
0.65,8.855201860663035e-13,Pipe,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.65,8.855201860663035e-13,INTER5,793.561051706823,3447380.0,15.849332136761266,291.69200587673794,0.3983168170185319,N/A,99671.79548766128
0.65,8.855201860663035e-13,Pressure Outlet,792.3379797429225,3447380.0,N/A,N/A,N/A,N/A,N/A
0.7000000000000001,8.498409708309364e-13,Pressurant Tank,64.83205547734343,5181061.712729763,10,273.51807010028267,N/A,0.15615153039030683,N/A
0.7000000000000001,8.498409708309364e-13,INTER1,64.83205547757763,5181061.712729763,15.718644852160319,273.518070099429,0.032273214503258936,N/A,8009.215856341552
0.7000000000000001,8.498409708309364e-13,Tank,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.7000000000000001,8.498409708309364e-13,INTER2,793.8080672126482,5183071.343480154,15.718644852160315,293.15000000000134,0.39515541870227294,N/A,98065.38003426774
0.7000000000000001,8.498409708309364e-13,Pipe,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.7000000000000001,8.498409708309364e-13,INTER3,793.6529507733349,4998370.912750208,15.72171700128759,293.1499999999963,0.39515541870226595,N/A,98084.54653840946
0.7000000000000001,8.498409708309364e-13,cavitating_venturi,N/A,N/A,N/A,N/A,0.3951554187026711,N/A,N/A
0.7000000000000001,8.498409708309364e-13,INTER4,793.6529507733349,3632116.5297233025,15.721717001287592,291.76922603567596,0.395155418702266,N/A,98084.54653840949
