Time,Interface,Density (kg/m^3),Pressure (kg/ms^2),Velocity (m/s),Temperature (K),Mass Flow Rate (kg/s),Dynamic Pressure (kg/ms^2)
2.0000000000000004,INTER1,110.85443134166887,9643925.96279418,8.326666273759123,293.1500000002146,0.029232203222902004,3842.955720603855
2.0000000000000004,INTER2,79.64069285513683,6894760.0,11.590153496377061,293.1499999999999,0.02923220322288412,5349.133160520398
2.1000000000000005,INTER1,108.51519674851869,9435627.24316501,7.93000234651532,293.1499999967144,0.0272521775627963,3411.9856672420538
2.1000000000000005,INTER2,79.64069285513682,6894760.0,10.805101437763003,293.15,0.027252177563592963,4649.034089633276
2.2000000000000006,INTER1,106.35125273520583,9243317.016655942,7.547355811029251,293.1499999973065,0.025419954369824863,3029.0208570974064
2.2000000000000006,INTER2,79.64069285513682,6894760.0,10.078650958292155,293.15,0.02541995437052727,4044.919138475337
2.3000000000000007,INTER1,104.34759660589039,9065565.791009009,7.178730605716143,293.149999997809,0.02372288144830225,2688.7335535212796
2.3000000000000007,INTER2,79.6406928551368,6894760.0,9.405785642393662,293.15000000000003,0.023722881448919864,3522.858405419725
2.400000000000001,INTER1,102.49071201323541,8901096.100574337,6.824071956873678,293.1499999982291,0.022149577157071682,2386.3915899311082
2.400000000000001,INTER2,79.6406928551368,6894760.0,8.781992830961704,293.15000000000003,0.02214957715761318,3071.0804293388237
2.500000000000001,INTER1,100.76840184150134,8748763.486520875,6.4832713535617845,293.14999999857645,0.020689781390352033,2117.7894155174304
2.500000000000001,INTER2,79.64069285513682,6894760.0,8.20320453774179,293.15,0.020689781390825494,2679.613237876812
2.600000000000001,INTER1,99.1696414995491,8607540.199215192,6.164348027552067,293.1499999987885,0.019359905156958856,1884.1828564355014
2.600000000000001,INTER2,79.6406928551368,6894760.0,7.6759274945248395,293.15000000000003,0.019359905156925962,2346.209352190714
2.700000000000001,INTER1,97.68248183783379,8476327.625848733,5.950360277381169,293.1499999996576,0.01840760468670497,1729.3114350645565
2.700000000000001,INTER2,79.64069285513682,6894760.0,7.298353880251112,293.15,0.01840760468674681,2121.069352770255
2.800000000000001,INTER1,96.2764300875004,8352402.949813628,5.741855708370846,293.1499999910958,0.017506913456365625,1587.0643337560914
2.800000000000001,INTER2,79.64069285513682,6894760.0,6.941242587437262,293.15,0.017506913432917905,1918.5780847219764
2.9000000000000012,INTER1,94.9464109103203,8235294.323693882,5.5388403149787555,293.14999999235533,0.01665462003865181,1456.418698457585
2.9000000000000012,INTER2,79.64069285513683,6894760.0,6.603320350850114,293.1499999999999,0.016654620018811284,1736.3200006721254
3.0000000000000013,INTER1,93.68771973575545,8124566.378621485,5.341307212077023,293.14999999345844,0.015847748061838546,1336.434838793299
3.0000000000000013,INTER2,79.64069285513682,6894760.0,6.2834070703935305,293.15,0.015847748045033746,1572.15523707429
3.1000000000000014,INTER1,92.49599164697995,8019816.887047362,5.1492374768166504,293.1499999944187,0.015083536070854062,1226.2492648783334
3.1000000000000014,INTER2,79.64069285513682,6894760.0,5.980407868379342,293.15,0.015083536056605883,1424.185770876336
3.2000000000000015,INTER1,91.36717316312149,7920673.776971852,4.962601002358138,293.1499999952483,0.014359419365805343,1125.068358019085
3.2000000000000015,INTER2,79.64069285513683,6894760.0,5.693305877747719,293.1499999999999,0.014359419353711343,1290.7260299869984
3.3000000000000016,INTER1,90.2974966158867,7826792.456144743,4.781357353136609,293.1499999959641,0.01367301359894545,1032.1626075430474
3.3000000000000016,INTER2,79.64069285513682,6894760.0,5.421155738499664,293.15,0.013673013588669304,1170.2773554607202
3.4000000000000017,INTER1,89.28345687203498,7737853.410130759,4.605456612020547,293.14999999657795,0.01302209993858998,946.861354742814
3.4000000000000017,INTER2,79.64069285513685,6894760.0,5.163077715399753,293.14999999999986,0.013022099929848914,1061.5057677895427
