Time,Tank DISTANCE (m),INTER2 MASS FLOW RATE (kg/s),Tank MASS (kg),Pressurant Tank PRESSURE (kg/ms^2),Tank PRESSURE (kg/ms^2),INTER3 MASS FLOW RATE (kg/s)
0.2700000000000001,0.17960909223852356,1.5525633809268549,1.0109999860909282,6848190.655474364,5195464.109273469,0.6999999999999993
0.2800000000000001,0.1784809053001506,1.5616646045545495,1.0039999860909283,6846148.660298408,5156365.448015121,0.6999999999999994
0.2900000000000001,0.17735271836177768,1.5702837964924061,0.9969999860909283,6844094.913440387,5117874.908235931,0.6999999999999994
0.3000000000000001,0.17622453142340477,1.5784494626507628,0.9899999860909283,6842030.052571836,5079978.2045595795,0.6999999999999996
0.3100000000000001,0.1750963444850318,1.5861879538505836,0.9829999860909283,6839954.677635344,5042661.505728709,0.6999999999999996
0.3200000000000001,0.1739681575466589,1.5935236714410808,0.9759999860909283,6837869.353694287,5005911.415934414,0.6999999999999995
0.3300000000000001,0.17283997060828596,1.6004792488806001,0.9689999860909283,6835774.613510944,4969714.95713331,0.6999999999999997
0.34000000000000014,0.17171178366991305,1.6070757126200255,0.9619999860909283,6833670.959884687,4934059.552283358,0.6999999999999997
0.35000000000000014,0.1705835967315401,1.613332625091316,0.9549999860909283,6831558.867777614,4898933.0094361305,0.6999999999999997
0.36000000000000015,0.1694554097931672,1.619268212164782,0.9479999860909283,6829438.786251201,4864323.506628846,0.6999999999999998
0.37000000000000016,0.16832722285479423,1.6248994770774765,0.9409999860909283,6827311.140234545,4830219.57752448,0.6999999999999998
0.38000000000000017,0.16719903591642132,1.63024230253635,0.9339999860909283,6825176.332141991,4796610.097752669,0.6999999999999998
0.3900000000000002,0.1660708489780484,1.6353115424515716,0.9269999860909283,6823034.743355832,4763484.271908002,0.6999999999999997
0.4000000000000002,0.16494266203967548,1.6401211045481539,0.9199999860909283,6820886.735587719,4730831.621165829,0.6999999999999998
0.4100000000000002,0.16381447510130254,1.6446840249302064,0.9129999860909283,6818732.652130865,4698641.97147876,0.6999999999999998
0.4200000000000002,0.1626862881629296,1.649012535525723,0.9059999860909282,6816572.819013657,4666905.442319901,0.6999999999999997
0.4300000000000002,0.16155810122455666,1.6531181252160807,0.8989999860909282,6814407.546064098,4635612.435941338,0.6999999999999998
0.4400000000000002,0.16042991428618375,1.6570115953493463,0.8919999860909282,6812237.127893399,4604753.627118717,0.6999999999999998
0.45000000000000023,0.15930172734781084,1.6607031102470067,0.8849999860909282,6810061.84480616,4574319.953354793,0.7
0.46000000000000024,0.15817354040943787,1.664202243237215,0.8779999860909282,6807881.963643741,4544302.605516735,0.6999999999999998
0.47000000000000025,0.15704535347106496,1.667518018682089,0.8709999860909282,6805697.738566763,4514693.018883694,0.6999999999999997
0.48000000000000026,0.155917166532692,1.6706589504100617,0.8639999860909282,6803509.411781989,4485482.864582685,0.7000000000000001
0.49000000000000027,0.1547889795943191,1.673633076915653,0.8569999860909282,6801317.214218384,4456664.041392313,0.7000000000000001
0.5000000000000002,0.15366079265594618,1.6764479936467656,0.8499999860909282,6799121.366156576,4428228.667895172,0.6999999999999998
0.5100000000000002,0.15253260571757324,1.6791108826631045,0.8429999860909282,6796922.077815627,4400169.07496095,0.7000000000000001
0.5200000000000002,0.1514044187792003,1.681628539917355,0.8359999860909282,6794719.549900533,4372477.798543445,0.7000000000000001
0.5300000000000002,0.15027623184082736,1.6840074003830532,0.8289999860909282,6792513.974113636,4345147.572775665,0.7000000000000001
0.5400000000000003,0.14914804490245445,1.6862535612286857,0.8219999860909282,6790305.533632774,4318171.323348204,0.7
0.5500000000000003,0.1480198579640815,1.6883728032162792,0.8149999860909282,6788094.403558756,4291542.161156932,0.6999999999999997
0.5600000000000003,0.1468916710257086,1.6903706104839946,0.8079999860909282,6785880.75133452,4265253.376206879,0.6999999999999998
0.5700000000000003,0.14576348408733564,1.6922521888557056,0.8009999860909282,6783664.737138097,4239298.431759954,0.7000000000000001
0.5800000000000003,0.14463529714896273,1.6940224828060078,0.7939999860909281,6781446.514251343,4213670.958714855,0.7000000000000001
0.5900000000000003,0.14350711021058982,1.695686191196185,0.7869999860909281,6779226.229406199,4188364.7502081585,0.7000000000000001
0.6000000000000003,0.14237892327221688,1.6972477818852545,0.7799999860909281,6777004.023110132,4163373.7564262575,0.7000000000000001
0.6100000000000003,0.14125073633384394,1.6987115053100714,0.7729999860909281,6774780.029952211,4138692.079618316,0.7
0.6200000000000003,0.140122549395471,1.7000814071194177,0.7659999860909281,6772554.378891221,4114313.9693010026,0.7000000000000001
0.6300000000000003,0.13899436245709806,1.701361339938995,0.7589999860909281,6770327.193527026,4090233.817646243,0.7
0.6400000000000003,0.13786617551872513,1.7025549743370525,0.7519999860909281,6768098.592356366,4066446.1550437096,0.7
0.6500000000000004,0.1367379885803522,1.7036658090539214,0.7449999860909281,6765868.689014123,4042945.645830198,0.7
0.6600000000000004,0.13560980164197928,1.7046971805530302,0.7379999860909281,6763637.592501038,4019727.0841784733,0.7
0.6700000000000004,0.13448161470360637,1.7056522719457787,0.7309999860909281,6761405.407398781,3996785.3901385264,0.7
0.6800000000000004,0.1333534277652334,1.7065341213380014,0.7239999860909281,6759172.234073193,3974115.605824579,0.6999999999999998
0.6900000000000004,0.1322252408268605,1.7073456296416263,0.7169999860909281,6756938.168866478,3951712.8917414863,0.7
0.7000000000000004,0.13109705388848755,1.7080895678913162,0.7099999860909281,6754703.30427904,3929572.5232445337,0.7
0.7100000000000004,0.12996886695011464,1.7087685841025164,0.7029999860909281,6752467.729141631,3907689.8871269072,0.6999999999999998
0.7200000000000004,0.1288406800117417,1.709385209704267,0.6959999860909281,6750231.528778405,3886060.4783294136,0.7000000000000001
0.7300000000000004,0.12771249307336877,1.7099418655773537,0.688999986090928,6747994.785161458,3864679.896767292,0.7
0.7400000000000004,0.12658430613499583,1.7104408677258514,0.681999986090928,6745757.577057365,3843543.84426921,0.7
0.7500000000000004,0.12545611919662292,1.710884432607841,0.674999986090928,6743519.980166192,3822648.121623776,0.7
0.7600000000000005,0.12432793225824999,1.711274682149026,0.667999986090928,6741282.067253458,3801988.625729128,0.7
0.7700000000000005,0.12319974531987705,1.7116136484610414,0.660999986090928,6739043.908275446,3781561.346841369,0.7000000000000001
0.7800000000000005,0.12207155838150412,1.7119032782845829,0.653999986090928,6736805.570498251,3761362.365917822,0.6999999999999998
0.7900000000000005,0.12094337144313118,1.712145437175915,0.646999986090928,6734567.118610964,3741387.8520512627,0.6999999999999998
0.8000000000000005,0.11981518450475825,1.712341913453837,0.639999986090928,6732328.614833276,3721634.0599914785,0.7
0.8100000000000005,0.11868699756638534,1.7124944219229663,0.632999986090928,6730090.11901788,3702097.327750659,0.6999999999999998
0.8200000000000005,0.1175588106280124,1.712604607387943,0.625999986090928,6727851.688747919,3682774.074289296,0.7
0.8300000000000005,0.11643062368963947,1.712674047972098,0.618999986090928,6725613.379429778,3663660.7972794124,0.7
0.8400000000000005,0.11530243675126653,1.7127042582531098,0.611999986090928,6723375.244381487,3644754.070942099,0.7
0.8500000000000005,0.1141742498128936,1.712696692227308,0.604999986090928,6721137.334916956,3626050.543956458,0.7
0.8600000000000005,0.1130460628745207,1.7126527461133532,0.597999986090928,6718899.7004262805,3607546.9374371897,0.7
0.8700000000000006,0.11191787593614774,1.7125737610053562,0.590999986090928,6716662.388452345,3589240.0429781913,0.7
0.8800000000000006,0.11078968899777483,1.7124610253846944,0.583999986090928,6714425.444763885,3571126.7207596344,0.7
0.8900000000000006,0.1096615020594019,1.7123157774992075,0.576999986090928,6712188.913425244,3553203.8977161157,0.6999999999999998
0.9000000000000006,0.10853331512102896,1.7121392076177926,0.569999986090928,6709952.836862957,3535468.565763571,0.7000000000000001
0.9100000000000006,0.10740512818265605,1.7119324601678976,0.5629999860909279,6707717.255929351,3517917.7800827497,0.7
0.9200000000000006,0.10627694124428311,1.7116966357629047,0.5559999860909279,6705482.209963318,3500548.657457134,0.7
0.9300000000000006,0.10514875430591017,1.711432793125899,0.5489999860909279,6703247.73684839,3483358.374663289,0.7
0.9400000000000006,0.10402056736753724,1.7111419509158863,0.5419999860909279,6701013.873068265,3466344.166911701,0.7
0.9500000000000006,0.1028923804291643,1.7108250894621535,0.5349999860909279,6698780.653759919,3449503.3263362604,0.6999999999999998
0.9600000000000006,0.10176419349079138,1.7104831524120367,0.5279999860909279,6696548.112764409,3432833.2005306087,0.6999999999999998
0.9700000000000006,0.10063600655241844,1.7101170482970651,0.5209999860909279,6694316.282675495,3416331.1911296537,0.7000000000000001
0.9800000000000006,0.09950781961404553,1.709727652022101,0.5139999860909279,6692085.194886191,3399994.7524346216,0.7
0.9900000000000007,0.0983796326756726,1.7093158062818004,0.5069999860909279,6689854.879633321,3383821.3900800855,0.6999999999999998
