Time,Converged Residual,Interface,Density (kg/m^3),Pressure (kg/ms^2),Velocity (m/s),Temperature (K),Mass Flow Rate (kg/s),Dynamic Pressure (kg/ms^2)
0.025,5.1091322426754666e-15,INTER3,1.213331923935588,103743.34688115417,24.485391383326892,288.16432366199984,0.00034780127142612546,363.7171081669077
0.025,5.1091322426754666e-15,INTER4,1.185044560176606,101325.39296,9.267426541931224,288.1643236619973,0.0003478012714261281,50.88889139545117
0.030000000000000002,5.157745886248519e-15,INTER1,1.5883608033951837,135786.68416538998,18.703229048144568,288.1424059221895,0.0003477845173659082,277.81286325889846
0.030000000000000002,5.157745886248519e-15,INTER2,1.5667487145828127,133939.79769366846,18.961225651878355,288.142405922182,0.0003477845173659085,281.64507720494265
0.030000000000000002,5.157745886248519e-15,INTER3,1.2133346826451676,103743.12824933341,24.484156219972913,288.16306468894993,0.000347784517365914,363.68124062640095
0.030000000000000002,5.157745886248519e-15,INTER4,1.1850497523637828,101325.39296,9.266939514965758,288.1630646889475,0.0003477845173659167,50.883765795789685
0.035,5.230785869811713e-15,INTER1,1.588343414169315,135784.59974991082,18.70253283711353,288.1411404267402,0.0003477677640265175,277.7891397285307
0.035,5.230785869811713e-15,INTER2,1.5667328984204445,133937.85585767962,18.96050366342841,288.1411404267328,0.0003477677640265177,281.6207861980862
0.035,5.230785869811713e-15,INTER3,1.2133374413855824,103742.90963659185,24.482921112359328,288.16180576719916,0.00034776776402652333,363.64537643520293
0.035,5.230785869811713e-15,INTER4,1.1850549443850285,101325.39296,9.26645251277213,288.1618057671967,0.00034776776402652604,50.87864069525097
0.04,5.159663038448159e-15,INTER1,1.5883260257811136,135782.5154440233,18.701836639738858,288.13987498391106,0.0003477510114079228,277.7654179730435
0.04,5.159663038448159e-15,INTER2,1.5667170829993342,133935.91412151718,18.959781690729592,288.13987498390367,0.00034775101140792304,281.59649704205214
0.04,5.159663038448159e-15,INTER3,1.2133402001568176,103742.69104292791,24.48168606048441,288.1605468967463,0.0003477510114079286,363.6095155930285
0.04,5.159663038448159e-15,INTER4,1.1850601362403421,101325.39296,9.265965535349155,288.1605468967439,0.0003477510114079313,50.87351609378862
