,Time,Interface,Rho,Pressure,Velocity,Temperature,Mass Flow Rate
150,3.7373737373737375,INTER3,23.65011195163752 kg/m^3,2050390.463193798 kg/ms^2,105.7467250210929 m/s,293.2583375777249 K,0.07920223899399041 kg/s
151,3.7373737373737375,INTER4,7.987979903664584 kg/m^3,695309.722045839 kg/ms^2,309.02755307503514 m/s,293.7232600343241 K,0.07817564958984935 kg/s
152,3.8383838383838382,INTER1,27.859046941082457 kg/m^3,2413166.031811978 kg/ms^2,86.97027675106143 m/s,293.15000181085463 K,0.0767316326791778 kg/s
153,3.8383838383838382,INTER2,23.765092981900562 kg/m^3,2059530.6059770933 kg/ms^2,101.95246286854157 m/s,293.1500174110516 K,0.07673165602945878 kg/s
154,3.8383838383838382,INTER3,23.650483728681053 kg/m^3,2050405.1395457601 kg/ms^2,105.74777958941172 m/s,293.25595845240343 K,0.07920427390765371 kg/s
155,3.8383838383838382,INTER4,7.986791129417007 kg/m^3,695289.2295732584 kg/ms^2,309.07503625927257 m/s,293.7576797833441 K,0.07817602563893425 kg/s
156,3.9393939393939394,INTER1,27.85904694042182 kg/m^3,2413166.031698934 kg/ms^2,86.97257385167818 m/s,293.1500018044283 K,0.0767336593500024 kg/s
157,3.9393939393939394,INTER2,23.764877310464612 kg/m^3,2059511.9733706203 kg/ms^2,101.95608066537866 m/s,293.1500177712653 K,0.07673368248770213 kg/s
158,3.9393939393939394,INTER3,23.650853453024688 kg/m^3,2050418.9901044045 kg/ms^2,105.74873740607386 m/s,293.2534910662697 K,0.07920622950431315 kg/s
159,3.9393939393939394,INTER4,7.985595324208852 kg/m^3,695268.3712168192 kg/ms^2,309.122625458066 m/s,293.7922119586393 K,0.07817635609281821 kg/s
160,4.040404040404041,INTER1,27.859046939750108 kg/m^3,2413166.031583992 kg/ms^2,86.97504761931911 m/s,293.15000179789405 K,0.07673584188955651 kg/s
161,4.040404040404041,INTER2,23.764645045898533 kg/m^3,2059491.907276641 kg/ms^2,101.95997680034371 m/s,293.150018166185 K,0.07673586479699741 kg/s
162,4.040404040404041,INTER3,23.65122048148836 kg/m^3,2050431.961589672 kg/ms^2,105.74961005127699 m/s,293.25093573862677 K,0.07920811230011808 kg/s
163,4.040404040404041,INTER4,7.984391946078815 kg/m^3,695247.1644648764 kg/ms^2,309.1703435303633 m/s,293.82688356040643 K,0.07817664138132657 kg/s
164,4.141414141414141,INTER1,27.85904693906788 kg/m^3,2413166.031467248 kg/ms^2,86.97770094188408 m/s,293.15000179125724 K,0.07673818284576127 kg/s
165,4.141414141414141,INTER2,23.764395915855278 kg/m^3,2059470.384178616 kg/ms^2,101.96415584090947 m/s,293.1500185979804 K,0.07673820550309698 kg/s
166,4.141414141414141,INTER3,23.65158418653047 kg/m^3,2050444.0031066204 kg/ms^2,105.75040897788777 m/s,293.248292929198 K,0.07920992876872614 kg/s
