Time,Converged Residual,Object,Density (kg/m^3),Pressure (kg/ms^2),Velocity (m/s),Temperature (K),Mass Flow Rate (kg/s),Mass (kg),Dynamic Pressure (kg/ms^2)
0.0,0.8065797520070179,INTER2,1.20284025723044,100663.496,879.9476317344652,282.0636222050207,0.012391083173225738,N/A,465684.3174699539
0.0,0.8065797520070179,Pressure Outlet,1.1572237248244983,100663.496,N/A,N/A,N/A,N/A,N/A
0.0,0.8065797497553142,Pressure Inlet,70.67477441523894,5515808.0,20,268.15,N/A,N/A,N/A
0.0,0.8065797497553142,INTER1,70.67477441523896,5515807.999999999,270.1730400798708,268.1499999999999,0.22353777873479708,N/A,2579398.5690628337
0.0,0.8065797497553142,critical_orifice,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.0,0.8065797497553142,INTER2,1.20284025723044,100663.496,879.9476317344652,282.0636222050207,0.012391083173225738,N/A,465684.3174699539
0.0,0.8065797497553142,Pressure Outlet,1.1572237248244983,100663.496,N/A,N/A,N/A,N/A,N/A
0.0,0.8065797485859236,Pressure Inlet,70.67477441523894,5515808.0,20,268.15,N/A,N/A,N/A
0.0,0.8065797485859236,INTER1,70.67477441523896,5515808.082191943,270.1730360539789,268.15000342513815,0.2235377754038247,N/A,2579398.4921907685
0.0,0.8065797485859236,critical_orifice,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.0,0.8065797485859236,INTER2,1.20284025723044,100663.496,879.9476317344652,282.0636222050207,0.012391083173225738,N/A,465684.3174699539
0.0,0.8065797485859236,Pressure Outlet,1.1572237248244983,100663.496,N/A,N/A,N/A,N/A,N/A
0.0,0.8065797453361054,Pressure Inlet,70.67477441523894,5515808.0,20,268.15,N/A,N/A,N/A
0.0,0.8065797453361054,INTER1,70.67477441523896,5515807.999999999,270.1730360539789,268.1499999999999,0.2235377754038247,N/A,2579398.4921907685
0.0,0.8065797453361054,critical_orifice,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.0,0.8065797453361054,INTER2,1.2028402751541565,100663.496,879.9476317344652,282.0636180146442,0.012391083357867266,N/A,465684.324409191
0.0,0.8065797453361054,Pressure Outlet,1.1572237248244983,100663.496,N/A,N/A,N/A,N/A,N/A
0.0,0.8065797477620724,Pressure Inlet,70.67477441523894,5515808.0,20,268.15,N/A,N/A,N/A
0.0,0.8065797477620724,INTER1,70.67477441523896,5515807.999999999,270.1730360539789,268.1499999999999,0.2235377754038247,N/A,2579398.4921907685
0.0,0.8065797477620724,critical_orifice,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.0,0.8065797477620724,INTER2,1.20284025723044,100663.496,879.9476448467067,282.0636222050207,0.01239108335786727,N/A,465684.33134842815
0.0,0.8065797477620724,Pressure Outlet,1.1572237248244983,100663.496,N/A,N/A,N/A,N/A,N/A
0.0,0.8065797497294361,Pressure Inlet,70.67477441523894,5515808.0,20,268.15,N/A,N/A,N/A
0.0,0.8065797497294361,INTER1,70.67477441523896,5515807.999999999,270.1730360539789,268.1499999999999,0.2235377754038247,N/A,2579398.4921907685
0.0,0.8065797497294361,critical_orifice,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.0,0.8065797497294361,INTER2,1.20284025723044,100663.49750000298,879.9476317344652,282.0636263968593,0.012391083173225738,N/A,465684.3174699539
0.0,0.8065797497294361,Pressure Outlet,1.1572237248244983,100663.496,N/A,N/A,N/A,N/A,N/A
0.0,0.6212144494989483,Pressure Inlet,70.67477441523894,5515808.0,20,268.15,N/A,N/A,N/A
0.0,0.6212144494989483,INTER1,40.03543146898388,5673624.2309432365,212.4768486098768,466.6172302030642,0.09958653463234896,N/A,903728.0257376881
0.0,0.6212144494989483,critical_orifice,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.0,0.6212144494989483,INTER2,1.9670950512764362,93018.38437894962,896.6878274876615,160.01914961355877,0.02064957466398392,N/A,790820.4634198607
0.0,0.6212144494989483,Pressure Outlet,1.1572237248244983,100663.496,N/A,N/A,N/A,N/A,N/A
0.0,1.0159619448758015,Pressure Inlet,70.67477441523894,5515808.0,20,268.15,N/A,N/A,N/A
0.0,1.0159619448758015,INTER1,76.6473986355765,4786362.6039470835,-218.02060017168765,223.09418308845304,-0.19563179559822425,N/A,1821639.7136484291
