Time,Converged Residual,Component,Mass (kg),Pressure (kg/ms^2),Density (kg/m^3),Temperature (K)
3.2000000000000015,3.408526978527877e-11,critical_orifice,N/A,N/A,N/A,N/A
3.2000000000000015,3.408526978527877e-11,Pressure Outlet,N/A,6996085.392960001,80.80229145074489,N/A
3.3000000000000016,4.55085879326674e-11,Pressurant Tank,0.18689760603291078,7685829.426619712,124.59840402194051,224.9308614972672
3.3000000000000016,4.55085879326674e-11,critical_orifice,N/A,N/A,N/A,N/A
3.3000000000000016,4.55085879326674e-11,Pressure Outlet,N/A,6996085.392960001,80.80229145074489,N/A
3.4000000000000017,5.1027803244830316e-11,Pressurant Tank,0.18563545839040632,7597672.100476289,123.75697226027089,224.10900199065048
3.4000000000000017,5.1027803244830316e-11,critical_orifice,N/A,N/A,N/A,N/A
3.4000000000000017,5.1027803244830316e-11,Pressure Outlet,N/A,6996085.392960001,80.80229145074489,N/A
3.5000000000000018,5.880478824241982e-11,Pressurant Tank,0.18445832212095062,7515823.624547823,122.97221474730041,223.33830958448584
3.5000000000000018,5.880478824241982e-11,critical_orifice,N/A,N/A,N/A,N/A
3.5000000000000018,5.880478824241982e-11,Pressure Outlet,N/A,6996085.392960001,80.80229145074489,N/A
3.600000000000002,7.1228928490279e-11,Pressurant Tank,0.18336952043957522,7440436.724531301,122.2463469597168,222.6218317859491
3.600000000000002,7.1228928490279e-11,critical_orifice,N/A,N/A,N/A,N/A
3.600000000000002,7.1228928490279e-11,Pressure Outlet,N/A,6996085.392960001,80.80229145074489,N/A
3.700000000000002,8.646770663663443e-11,Pressurant Tank,0.1823725484528141,7371677.798825471,121.58169896854272,221.96271469439583
3.700000000000002,8.646770663663443e-11,critical_orifice,N/A,N/A,N/A,N/A
3.700000000000002,8.646770663663443e-11,Pressure Outlet,N/A,6996085.392960001,80.80229145074489,N/A
3.800000000000002,1.0028576457294285e-10,Pressurant Tank,0.18147014034984302,7309663.544308458,120.980093566562,221.36357489692202
3.800000000000002,1.0028576457294285e-10,critical_orifice,N/A,N/A,N/A,N/A
3.800000000000002,1.0028576457294285e-10,Pressure Outlet,N/A,6996085.392960001,80.80229145074489,N/A
3.900000000000002,1.1185880801546234e-10,Pressurant Tank,0.18066283656042817,7254364.655550054,120.44189104028544,220.82552285805673
3.900000000000002,1.1185880801546234e-10,critical_orifice,N/A,N/A,N/A,N/A
3.900000000000002,1.1185880801546234e-10,Pressure Outlet,N/A,6996085.392960001,80.80229145074489,N/A
4.000000000000002,1.948672288663341e-09,Pressurant Tank,0.17994566223592579,7205382.044292722,119.96377482395052,220.345905750359
4.000000000000002,1.948672288663341e-09,critical_orifice,N/A,N/A,N/A,N/A
4.000000000000002,1.948672288663341e-09,Pressure Outlet,N/A,6996085.392960001,80.80229145074489,N/A
